ts,freeholdRacewayMallPower,freeholdRacewayMallSchOut,freeholdNJTemp,freeholdNJCondition
2019-06-23T06:00:00-04:00 New_York,252.06333923339844kW,false,62°F,partlyCloudy
2019-06-23T06:15:00-04:00 New_York,194.74212646484375kW,false,62.75°F,partlyCloudy
2019-06-23T06:30:00-04:00 New_York,215.60076904296875kW,false,63.5°F,partlyCloudy
2019-06-23T06:45:00-04:00 New_York,189.08863830566406kW,false,64.25°F,partlyCloudy
2019-06-23T07:00:00-04:00 New_York,197.56761169433594kW,false,65°F,partlyCloudy
2019-06-23T07:15:00-04:00 New_York,202.3839569091797kW,false,65.75°F,partlyCloudy
2019-06-23T07:30:00-04:00 New_York,218.48056030273438kW,false,66.5°F,partlyCloudy
2019-06-23T07:45:00-04:00 New_York,241.9864501953125kW,false,67.25°F,partlyCloudy
2019-06-23T08:00:00-04:00 New_York,368.6681823730469kW,false,68°F,clear
2019-06-23T08:15:00-04:00 New_York,494.8791809082031kW,false,68.75°F,clear
2019-06-23T08:30:00-04:00 New_York,511.35015869140625kW,false,69.5°F,clear
2019-06-23T08:45:00-04:00 New_York,490.3071594238281kW,false,70.25°F,clear
2019-06-23T09:00:00-04:00 New_York,524.010986328125kW,false,71°F,clear
2019-06-23T09:15:00-04:00 New_York,528.006591796875kW,false,71.5°F,clear
2019-06-23T09:30:00-04:00 New_York,549.8028564453125kW,false,72°F,clear
2019-06-23T09:45:00-04:00 New_York,593.9838256835938kW,false,72.5°F,clear
2019-06-23T10:00:00-04:00 New_York,653.2120971679688kW,false,73°F,clear
2019-06-23T10:15:00-04:00 New_York,670.6919555664062kW,false,73.75°F,clear
2019-06-23T10:30:00-04:00 New_York,722.31689453125kW,false,74.5°F,clear
2019-06-23T10:45:00-04:00 New_York,947.8115234375kW,false,75.25°F,clear
2019-06-23T11:00:00-04:00 New_York,1333.988037109375kW,true,76°F,partlyCloudy
2019-06-23T11:15:00-04:00 New_York,1549.70166015625kW,true,76.5°F,partlyCloudy
2019-06-23T11:30:00-04:00 New_York,1528.9150390625kW,true,77°F,partlyCloudy
2019-06-23T11:45:00-04:00 New_York,1519.8131103515625kW,true,77.5°F,partlyCloudy
2019-06-23T12:00:00-04:00 New_York,1510.014404296875kW,true,78°F,partlyCloudy
2019-06-23T12:15:00-04:00 New_York,1567.298583984375kW,true,78.25°F,partlyCloudy
2019-06-23T12:30:00-04:00 New_York,1549.6866455078125kW,true,78.5°F,partlyCloudy
2019-06-23T12:45:00-04:00 New_York,1557.161376953125kW,true,78.75°F,partlyCloudy
2019-06-23T13:00:00-04:00 New_York,1552.16748046875kW,true,79°F,partlyCloudy
2019-06-23T13:15:00-04:00 New_York,1543.6248779296875kW,true,79.25°F,partlyCloudy
2019-06-23T13:30:00-04:00 New_York,1600.08984375kW,true,79.5°F,partlyCloudy
2019-06-23T13:45:00-04:00 New_York,1552.294921875kW,true,79.75°F,partlyCloudy
2019-06-23T14:00:00-04:00 New_York,1578.798828125kW,true,80°F,partlyCloudy
2019-06-23T14:15:00-04:00 New_York,1579.1031494140625kW,true,80.25°F,partlyCloudy
2019-06-23T14:30:00-04:00 New_York,1581.8924560546875kW,true,80.5°F,partlyCloudy
2019-06-23T14:45:00-04:00 New_York,1540.1129150390625kW,true,80.75°F,partlyCloudy
2019-06-23T15:00:00-04:00 New_York,1583.0323486328125kW,true,81°F,partlyCloudy
2019-06-23T15:15:00-04:00 New_York,1578.9268798828125kW,true,80.75°F,partlyCloudy
2019-06-23T15:30:00-04:00 New_York,1590.2564697265625kW,true,80.5°F,partlyCloudy
2019-06-23T15:45:00-04:00 New_York,1563.5015869140625kW,true,80.25°F,partlyCloudy
2019-06-23T16:00:00-04:00 New_York,1561.9215087890625kW,true,80°F,partlyCloudy
